"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.202",1,0.000132886077110545,0.999867113922889,0.000155181371854087,1,856,5515270,0,733,3.41e-07
"result.203",1,0.000133973821261519,0.999866026178738,0.000155181540648137,1,856,5515264,0,739,3.42e-07
"result.204",1,0.000134517693337005,0.999865482306663,0.000155181625045299,1,856,5515261,0,742,3.43e-07
"result.205",1,0.000135061565412492,0.999864938434587,0.000155181709442553,1,856,5515258,0,745,3.44e-07
"result.206",1,0.000135968018871636,0.999864031981128,0.000155181850104847,1,856,5515253,0,750,3.45e-07
"result.207",1,0.000136149309563465,0.999863850690436,0.000155181878237337,1,856,5515252,0,751,3.46e-07
"result.208",1,0.00013687447233078,0.999863125527669,0.000155181990767397,1,856,5515248,0,755,3.47e-07
"result.209",1,0.000137962216481753,0.999862037783518,0.000155182159562792,1,856,5515242,0,761,3.48e-07
"result.210",1,0.000139231251324555,0.999860768748675,0.000155182356491218,1,856,5515235,0,768,3.49e-07
"result.211",1,0.000140318995475528,0.999859681004524,0.000155182525287409,1,856,5515229,0,774,3.5e-07
"result.212",1,0.000140318995475528,0.999859681004524,0.000155182525287409,1,856,5515229,0,774,3.51e-07
"result.213",1,0.00014158803031833,0.999858411969682,0.000155182722216763,1,856,5515222,0,781,3.52e-07
"result.214",1,0.000142131902393817,0.999857868097606,0.000155182806615211,1,856,5515219,0,784,3.53e-07
"result.215",1,0.000143400937236619,0.999856599062763,0.000155183003545279,1,856,5515212,0,791,3.54e-07
"result.216",1,0.000143763518620276,0.99985623648138,0.000155183059811105,1,856,5515210,0,793,3.55e-07
"result.217",1,0.000144669972079421,0.999855330027921,0.000155183200475847,1,856,5515205,0,798,3.56e-07
"result.218",1,0.000145032553463078,0.999854967446537,0.000155183256741815,1,856,5515203,0,800,3.57e-07
"result.219",1,0.000145213844154907,0.999854786155845,0.000155183284874815,1,856,5515202,0,801,3.58e-07
"result.220",1,0.00014630158830588,0.999853698411694,0.000155183453673026,1,856,5515196,0,807,3.59e-07
"result.221",1,0.000147208041765024,0.999852791958235,0.000155183594338482,1,856,5515191,0,812,3.6e-07
"result.222",1,0.000147389332456853,0.999852610667543,0.000155183622471604,1,856,5515190,0,813,3.61e-07
"result.223",1,0.000148477076607826,0.999851522923392,0.000155183791270549,1,856,5515184,0,819,3.62e-07
"result.224",1,0.000149564820758799,0.999850435179241,0.000155183960069862,1,856,5515178,0,825,3.63e-07
"result.225",1,0.000150471274217944,0.999849528725782,0.000155184100736236,1,856,5515173,0,830,3.64e-07
"result.226",1,0.000151196436985259,0.999848803563015,0.000155184213269519,1,856,5515169,0,834,3.65e-07
"result.227",1,0.00015264676251989,0.99984735323748,0.000155184438336575,1,856,5515161,0,842,3.66e-07
"result.228",1,0.000153553215979034,0.999846446784021,0.000155184579003817,1,856,5515156,0,847,3.67e-07
"result.229",1,0.000154459669438178,0.999845540330562,0.000155184719671313,1,856,5515151,0,852,3.68e-07
"result.230",1,0.000155003541513665,0.999844996458486,0.000155184804071933,1,856,5515148,0,855,3.69e-07
