"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.154",0.999693289166973,0.0047154204632577,0.995284579536742,0.00261288456555924,0.999830381979782,16297,6220871,5,29473,0.000202
"result.155",0.999631947000368,0.00490053027481367,0.995099469725186,0.00261320940793873,0.999804151978065,16296,6219714,6,30630,0.000203
"result.156",0.999631947000368,0.00508835993666909,0.994911640063331,0.00261370146704741,0.999811380069161,16296,6218540,6,31804,0.000204
"result.157",0.999631947000368,0.00529138876196254,0.994708611238037,0.00261423355199359,0.999818616040388,16296,6217271,6,33073,0.000205
"result.158",0.999631947000368,0.00549393761367374,0.994506062386326,0.00261476459497062,0.999825302081817,16296,6216005,6,34339,0.000206
"result.159",0.999631947000368,0.00568080732836465,0.994319192671635,0.00261525472173359,0.999831047785318,16296,6214837,6,35507,0.000207
"result.160",0.999570604833763,0.00592431392576153,0.994075686074238,0.00261573356919615,0.999810994707852,16295,6213315,7,37029,0.000208
"result.161",0.999570604833763,0.00613502232837105,0.993864977671629,0.00261628667758566,0.999817484942508,16295,6211998,7,38346,0.000209
"result.162",0.999570604833763,0.00637708900502116,0.993622910994979,0.00261692239006356,0.999824411779461,16295,6210485,7,39859,0.00021
"result.163",0.999570604833763,0.00658251769822589,0.993417482301774,0.00261746212671247,0.999829890643985,16295,6209201,7,41143,0.000211
"result.164",0.999570604833763,0.00683354388174475,0.993166456118255,0.00261812196704749,0.999836138486388,16295,6207632,7,42712,0.000212
"result.165",0.999570604833763,0.0070732106904836,0.992926789309516,0.00261875225896511,0.999841689847796,16295,6206134,7,44210,0.000213
"result.166",0.999509262667157,0.00730215808921877,0.992697841910781,0.00261919431885275,0.999824749720695,16294,6204703,8,45641,0.000214
"result.167",0.999447920500552,0.00754374479228663,0.992456255207713,0.00261966985696246,0.999809160305344,16293,6203193,9,47151,0.000215
"result.168",0.999447920500552,0.00781828968133594,0.992181710318664,0.00262039284180663,0.999815860545053,16293,6201477,9,48867,0.000216
"result.169",0.999447920500552,0.00808019526605256,0.991919804733947,0.00262108291440997,0.999821828044266,16293,6199840,9,50504,0.000217
"result.170",0.999447920500552,0.00833730111494663,0.991662698885053,0.00262176069421867,0.999827321565618,16293,6198233,9,52111,0.000218
"result.171",0.999447920500552,0.00860944613608467,0.991390553863915,0.00262247850213067,0.999832779026774,16293,6196532,9,53812,0.000219
"result.172",0.999386578333947,0.00891582927275683,0.991084170727243,0.00262312650209494,0.999820585966234,16292,6194617,10,55727,0.00022
"result.173",0.999386578333947,0.00920557332524418,0.990794426674756,0.0026238915861853,0.999826232015014,16292,6192806,10,57538,0.000221
"result.174",0.999386578333947,0.00947435853130644,0.990525641468694,0.00262460172651495,0.999831160937394,16292,6191126,10,59218,0.000222
