"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.216",0.999758861827827,0.00562862686472984,0.99437137313527,0.00625478518976695,0.999731874731875,41460,6587065,10,37286,0.000325
"result.217",0.999758861827827,0.005731429388328,0.994268570611672,0.00625542785859172,0.99973668272902,41460,6586384,10,37967,0.000326
"result.218",0.999758861827827,0.00581204105881467,0.994187958941185,0.00625593189393585,0.999740333930565,41460,6585850,10,38501,0.000327
"result.219",0.99973474801061,0.00589929488941634,0.994100705110584,0.00625632759199068,0.999718598106933,41459,6585272,11,39079,0.000328
"result.220",0.99973474801061,0.00600285220393666,0.993997147796063,0.00625697531483713,0.999723451327434,41459,6584586,11,39765,0.000329
"result.221",0.99973474801061,0.00609403094733356,0.993905969052666,0.00625754572412614,0.999727587914809,41459,6583982,11,40369,0.00033
"result.222",0.99973474801061,0.00620015455098922,0.993799845449011,0.00625820975863498,0.999732249348879,41459,6583279,11,41072,0.000331
"result.223",0.99973474801061,0.00631941151669047,0.99368058848331,0.00625895613914844,0.999737300886012,41459,6582489,11,41862,0.000332
"result.224",0.999710634193393,0.0064140622983293,0.993585937701671,0.00625939860976066,0.999717653702266,41458,6581862,12,42489,0.000333
"result.225",0.999710634193393,0.00651082649455018,0.99348917350545,0.00626000444835089,0.999721848778453,41458,6581221,12,43130,0.000334
"result.226",0.999710634193393,0.00661211943630402,0.993387880563696,0.00626063876697219,0.999726108689202,41458,6580550,12,43801,0.000335
"result.227",0.999710634193393,0.00669695793595478,0.993303042064045,0.00626117014319833,0.999729577464789,41458,6579988,12,44363,0.000336
"result.228",0.999710634193393,0.00680111908321283,0.993198880916787,0.00626182266798535,0.999733717962942,41458,6579298,12,45053,0.000337
"result.229",0.999710634193393,0.0069034687322577,0.993096531267742,0.00626246397701054,0.99973766477931,41458,6578620,12,45731,0.000338
"result.230",0.999710634193393,0.00700083676121631,0.992999163238784,0.0062630741938169,0.999741312408381,41458,6577975,12,46376,0.000339
